CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,CustomerID_Ordinal
C00147,6,133,7448,One year,Credit Card,No,0,146
C00148,34,24,2004,Two year,Bank Transfer,Yes,1,147
C00149,20,114,1250,One year,Bank Transfer,Yes,0,148
C00150,42,132,3139,Month-to-month,Electronic Check,No,0,149
C00151,5,105,5965,One year,Credit Card,No,0,150
C00152,45,139,7654,Month-to-month,Credit Card,No,1,151
C00153,21,156,6366,Two year,Electronic Check,No,0,152
C00154,37,158,3355,Two year,Electronic Check,No,0,153
C00155,68,40,5920,Month-to-month,Bank Transfer,Yes,1,154
C00156,26,148,4601,One year,Bank Transfer,Yes,0,155
C00157,26,78,5632,Two year,Electronic Check,Yes,1,156
C00158,1,86,7217,Two year,Bank Transfer,Yes,0,157
C00159,47,182,3250,One year,Electronic Check,No,1,158
C00160,30,154,4096,One year,Bank Transfer,Yes,0,159
C00161,51,78,984,Month-to-month,Electronic Check,Yes,1,160
C00162,13,90,347,One year,Electronic Check,Yes,0,161
C00163,64,185,3916,One year,Credit Card,Yes,1,162
C00164,60,171,220,Month-to-month,Credit Card,No,1,163
C00165,69,48,3419,One year,Bank Transfer,Yes,1,164
C00166,40,105,791,One year,Credit Card,Yes,0,165
C00167,23,110,6723,Two year,Bank Transfer,Yes,1,166
C00168,42,80,5832,One year,Electronic Check,No,1,167
C00169,13,99,2938,Month-to-month,Credit Card,No,0,168
C00170,24,84,6882,One year,Credit Card,Yes,0,169
C00171,22,61,5363,Two year,Bank Transfer,Yes,1,170
C00172,10,115,3717,One year,Electronic Check,Yes,0,171
C00173,62,160,1811,Month-to-month,Credit Card,Yes,1,172
C00174,5,145,1090,Month-to-month,Credit Card,No,1,173
C00175,20,76,6396,Two year,Credit Card,Yes,1,174
C00176,68,67,1797,Two year,Electronic Check,No,1,175
C00177,42,50,279,One year,Electronic Check,No,0,176
C00178,3,180,3232,One year,Bank Transfer,No,0,177
C00179,68,193,3285,One year,Credit Card,No,0,178
C00180,52,39,3233,Two year,Credit Card,Yes,1,179
C00181,4,135,4742,Month-to-month,Credit Card,No,1,180
C00182,13,64,4297,Month-to-month,Bank Transfer,Yes,1,181
C00183,56,151,735,Two year,Credit Card,Yes,1,182
C00184,61,29,2290,One year,Credit Card,Yes,0,183
C00185,47,130,2289,Month-to-month,Bank Transfer,Yes,0,184
C00186,59,93,7342,Month-to-month,Bank Transfer,No,0,185
C00187,47,199,6905,Two year,Electronic Check,Yes,1,186
C00188,49,163,3776,One year,Bank Transfer,No,0,187
C00189,31,100,4971,One year,Electronic Check,Yes,0,188
C00190,52,185,7330,Two year,Credit Card,Yes,0,189
C00191,46,51,466,One year,Bank Transfer,Yes,0,190
C00192,43,31,7992,Month-to-month,Credit Card,No,0,191
C00193,65,158,3712,One year,Credit Card,No,0,192
C00194,71,138,6231,Month-to-month,Electronic Check,No,0,193
C00195,27,121,4317,One year,Bank Transfer,No,0,194
C00196,30,133,3029,Month-to-month,Credit Card,Yes,1,195
C00197,37,152,2750,One year,Credit Card,No,0,196
C00198,37,34,6987,Month-to-month,Electronic Check,No,1,197
C00199,3,63,1535,Two year,Electronic Check,No,0,198
C00200,42,143,7310,One year,Electronic Check,Yes,0,199
C00201,50,170,3185,Two year,Electronic Check,No,0,200
C00202,50,169,159,One year,Bank Transfer,No,0,201
C00203,29,189,5035,One year,Credit Card,Yes,1,202
C00204,15,55,5421,Two year,Credit Card,No,0,203
C00205,69,40,3396,Month-to-month,Credit Card,Yes,0,204
C00206,69,94,5765,Month-to-month,Electronic Check,Yes,0,205
C00207,57,32,4351,One year,Bank Transfer,No,0,206
C00208,70,171,4801,Month-to-month,Electronic Check,No,0,207
C00209,46,199,4023,Month-to-month,Electronic Check,Yes,0,208
C00210,65,82,7742,Two year,Credit Card,Yes,0,209
C00211,65,113,2956,Month-to-month,Credit Card,Yes,0,210
C00212,51,160,4278,Two year,Credit Card,No,1,211
C00213,44,59,1893,Month-to-month,Credit Card,Yes,0,212
C00214,7,142,3099,Month-to-month,Bank Transfer,No,1,213
C00215,59,29,1393,One year,Electronic Check,Yes,0,214
C00216,8,102,2161,One year,Bank Transfer,Yes,1,215
C00217,10,152,5250,Month-to-month,Credit Card,Yes,1,216
C00218,67,182,6193,Two year,Bank Transfer,Yes,0,217
C00219,45,177,3091,One year,Bank Transfer,No,0,218
C00220,33,198,2226,Two year,Bank Transfer,Yes,0,219
C00221,57,118,5412,Two year,Credit Card,No,1,220
C00222,67,37,1247,Month-to-month,Credit Card,No,1,221
C00223,31,70,1256,Month-to-month,Credit Card,No,0,222
C00224,19,43,6118,One year,Electronic Check,Yes,0,223
C00225,40,156,7024,One year,Electronic Check,No,0,224
C00226,24,142,7012,One year,Credit Card,Yes,0,225
C00227,57,123,5830,Month-to-month,Bank Transfer,Yes,0,226
C00228,53,183,4023,Two year,Electronic Check,Yes,1,227
C00229,24,32,1635,One year,Bank Transfer,No,1,228
C00230,32,149,5477,Two year,Bank Transfer,No,1,229
C00231,33,99,3225,One year,Credit Card,No,1,230
C00232,20,151,2681,One year,Credit Card,No,1,231
C00233,12,52,7459,Two year,Electronic Check,No,0,232
C00234,61,24,217,One year,Electronic Check,No,1,233
C00235,65,94,7183,One year,Bank Transfer,No,1,234
C00236,13,115,6305,Two year,Credit Card,No,1,235
C00237,61,51,810,One year,Bank Transfer,No,0,236
C00238,33,151,6705,Month-to-month,Bank Transfer,No,1,237
C00239,21,138,6404,Two year,Credit Card,Yes,1,238
C00240,56,108,6378,Two year,Bank Transfer,Yes,1,239
C00241,69,121,7669,One year,Electronic Check,Yes,0,240
C00242,16,196,7704,Two year,Electronic Check,No,0,241
C00243,28,33,1099,Two year,Credit Card,No,1,242
C00244,53,123,4561,One year,Bank Transfer,Yes,1,243
C00245,23,104,2991,Two year,Electronic Check,No,0,244
C00246,15,60,3032,Month-to-month,Bank Transfer,No,1,245
C00247,43,130,6856,One year,Bank Transfer,No,0,246
C00248,60,48,4747,One year,Bank Transfer,No,1,247
C00249,48,79,3083,One year,Bank Transfer,Yes,1,248
C00250,58,90,3841,Two year,Electronic Check,No,1,249
C00251,24,48,1639,Month-to-month,Electronic Check,Yes,0,250
C00252,9,138,515,Two year,Credit Card,No,0,251
C00253,55,71,1965,Two year,Credit Card,Yes,1,252
C00254,26,182,3882,Month-to-month,Electronic Check,Yes,0,253
C00255,31,88,4230,Two year,Electronic Check,No,1,254
C00256,29,178,7961,Two year,Electronic Check,Yes,0,255
C00257,65,30,6769,Month-to-month,Credit Card,No,0,256
C00258,50,120,1839,Two year,Credit Card,Yes,0,257
C00259,54,191,6674,Two year,Credit Card,No,1,258
C00260,31,85,1935,One year,Electronic Check,Yes,0,259
C00261,49,41,7108,Two year,Bank Transfer,Yes,1,260
C00262,44,176,4069,Two year,Bank Transfer,No,0,261
C00263,1,39,2429,Month-to-month,Credit Card,Yes,1,262
C00264,71,156,812,One year,Credit Card,No,0,263
C00265,34,172,1619,Two year,Electronic Check,Yes,1,264
C00266,6,115,1677,Two year,Bank Transfer,Yes,1,265
C00267,29,92,1792,Month-to-month,Credit Card,Yes,0,266
C00268,69,177,2153,Two year,Bank Transfer,No,0,267
C00269,19,63,1186,Two year,Electronic Check,No,1,268
C00270,43,81,7187,Two year,Credit Card,No,1,269
C00271,8,160,7182,Month-to-month,Bank Transfer,No,1,270
C00272,43,85,6192,One year,Credit Card,Yes,1,271
C00273,29,64,6131,One year,Electronic Check,Yes,0,272
C00274,67,142,1008,Month-to-month,Electronic Check,No,1,273
C00275,66,196,2989,Month-to-month,Electronic Check,No,0,274
C00276,49,94,4521,One year,Bank Transfer,Yes,1,275
C00277,58,174,1493,Two year,Credit Card,No,0,276
C00278,3,72,4282,One year,Credit Card,Yes,0,277
C00279,66,128,7087,One year,Electronic Check,No,1,278
C00280,57,43,6209,Two year,Bank Transfer,No,1,279
C00281,17,25,7759,Two year,Credit Card,No,1,280
C00282,18,158,7475,Two year,Electronic Check,Yes,0,281
C00283,2,56,7493,Month-to-month,Electronic Check,No,1,282
C00284,13,94,261,Month-to-month,Bank Transfer,Yes,0,283
C00285,26,171,6538,Two year,Credit Card,Yes,0,284
C00286,48,80,6186,Month-to-month,Electronic Check,Yes,1,285
C00287,11,60,627,One year,Electronic Check,No,0,286
C00288,42,83,1173,One year,Bank Transfer,Yes,0,287
C00289,22,58,6472,One year,Electronic Check,No,1,288
C00290,57,123,5518,One year,Credit Card,Yes,1,289
C00291,63,177,5573,One year,Credit Card,Yes,0,290
C00292,65,59,6420,Two year,Credit Card,No,0,291
C00293,13,140,727,One year,Bank Transfer,Yes,0,292
C00294,70,128,5423,Month-to-month,Bank Transfer,Yes,0,293
C00295,6,59,6657,Two year,Credit Card,No,0,294
C00296,66,44,1995,One year,Electronic Check,Yes,0,295
C00297,15,163,4659,Month-to-month,Credit Card,No,0,296
C00298,66,136,7139,Month-to-month,Bank Transfer,No,0,297
C00299,47,193,5219,Two year,Credit Card,No,1,298
C00300,26,93,3151,One year,Electronic Check,Yes,0,299
C00301,14,176,5655,One year,Credit Card,Yes,1,300
C00302,65,84,1193,Month-to-month,Electronic Check,No,1,301
C00303,58,128,7204,Month-to-month,Bank Transfer,Yes,0,302
C00304,21,179,840,One year,Bank Transfer,Yes,1,303
C00305,61,61,7474,Month-to-month,Credit Card,No,1,304
C00306,11,88,7410,One year,Credit Card,No,0,305
C00307,20,107,2288,Two year,Bank Transfer,Yes,1,306
C00308,55,169,1513,Two year,Electronic Check,No,0,307
C00309,9,149,1431,Month-to-month,Electronic Check,No,0,308
C00310,41,98,7631,One year,Bank Transfer,Yes,0,309
C00311,58,72,6062,Month-to-month,Bank Transfer,No,0,310
C00312,61,177,5838,Month-to-month,Credit Card,Yes,1,311
C00313,32,100,7901,One year,Credit Card,Yes,0,312
C00314,46,192,169,Month-to-month,Bank Transfer,Yes,0,313
C00315,28,185,4320,One year,Credit Card,No,0,314
C00316,39,166,805,One year,Credit Card,No,1,315
C00317,61,99,6541,Month-to-month,Electronic Check,No,0,316
C00318,38,63,5531,Month-to-month,Electronic Check,No,1,317
C00319,34,90,7911,Month-to-month,Electronic Check,No,0,318
C00320,43,63,4351,Two year,Bank Transfer,Yes,0,319
C00321,25,156,3381,One year,Bank Transfer,No,1,320
C00322,52,60,2095,Two year,Bank Transfer,Yes,1,321
C00323,18,147,2845,Month-to-month,Bank Transfer,Yes,0,322
C00324,9,55,4064,Month-to-month,Bank Transfer,Yes,0,323
C00325,57,80,177,One year,Credit Card,No,0,324
C00326,45,125,5533,One year,Credit Card,No,0,325
C00327,51,98,6795,Two year,Credit Card,Yes,1,326
C00328,57,115,7867,Month-to-month,Electronic Check,Yes,0,327
C00329,29,90,2039,One year,Credit Card,No,0,328
C00330,50,151,3525,One year,Electronic Check,Yes,0,329
C00331,25,180,6676,Two year,Electronic Check,No,1,330
C00332,55,84,4026,Month-to-month,Credit Card,Yes,0,331
C00333,31,40,7644,One year,Credit Card,No,0,332
C00334,11,185,7387,One year,Bank Transfer,Yes,0,333
C00335,43,70,1690,Month-to-month,Bank Transfer,No,1,334
C00336,18,188,2878,Month-to-month,Electronic Check,No,0,335
C00337,9,24,3090,Two year,Electronic Check,No,1,336
C00338,6,161,458,Month-to-month,Electronic Check,Yes,0,337
C00339,28,95,6110,One year,Electronic Check,No,1,338
C00340,4,20,5182,Two year,Bank Transfer,Yes,1,339
C00341,68,46,7768,Month-to-month,Electronic Check,No,0,340
C00342,58,142,1452,One year,Credit Card,Yes,1,341
C00343,67,67,1052,Month-to-month,Electronic Check,Yes,1,342
C00344,32,80,2998,Two year,Electronic Check,Yes,1,343
C00345,65,29,3138,One year,Bank Transfer,No,1,344
C00346,10,89,6631,Month-to-month,Electronic Check,No,0,345
C00347,65,178,4809,One year,Electronic Check,No,0,346
C00348,3,129,7607,Month-to-month,Bank Transfer,No,1,347
C00349,32,138,714,One year,Electronic Check,No,0,348
C00350,54,181,6354,Month-to-month,Electronic Check,Yes,0,349
C00351,57,187,774,One year,Bank Transfer,Yes,0,350
C00352,34,38,7888,Month-to-month,Credit Card,Yes,1,351
C00353,6,137,4804,One year,Electronic Check,Yes,0,352
C00354,7,54,1631,One year,Credit Card,Yes,1,353
C00355,39,170,4762,Month-to-month,Electronic Check,No,0,354
C00356,44,68,1931,Two year,Bank Transfer,No,1,355
C00357,47,46,7361,One year,Credit Card,Yes,1,356
C00358,66,184,1534,Month-to-month,Electronic Check,Yes,0,357
C00359,46,119,656,Month-to-month,Bank Transfer,No,1,358
C00360,49,168,4471,Two year,Bank Transfer,Yes,1,359
C00361,45,118,4416,Two year,Bank Transfer,No,0,360
C00362,5,134,3651,One year,Credit Card,Yes,1,361
C00363,30,138,1585,One year,Bank Transfer,Yes,0,362
C00364,48,53,7371,Two year,Credit Card,No,0,363
C00365,17,24,1389,One year,Bank Transfer,No,0,364
C00366,17,124,1196,Month-to-month,Credit Card,No,1,365
C00367,33,101,2979,Two year,Credit Card,Yes,0,366
C00368,10,81,5158,One year,Electronic Check,Yes,1,367
C00369,37,58,5083,Month-to-month,Credit Card,No,1,368
C00370,32,148,2526,Two year,Electronic Check,No,1,369
C00371,20,49,5058,One year,Electronic Check,No,1,370
C00372,14,27,2388,Two year,Bank Transfer,Yes,0,371
C00373,57,126,1514,Month-to-month,Bank Transfer,Yes,0,372
C00374,40,130,5612,One year,Electronic Check,Yes,1,373
C00375,29,20,4628,One year,Bank Transfer,Yes,1,374
C00376,33,196,2107,One year,Bank Transfer,Yes,0,375
C00377,36,192,3483,One year,Electronic Check,No,0,376
C00378,31,181,4712,Two year,Bank Transfer,No,1,377
C00379,41,76,4187,Two year,Bank Transfer,No,1,378
C00380,21,180,3061,One year,Bank Transfer,No,0,379
C00381,68,67,2144,Two year,Credit Card,Yes,1,380
C00382,67,64,5558,One year,Credit Card,Yes,0,381
C00383,24,185,1550,Two year,Electronic Check,No,1,382
C00384,47,187,4343,One year,Bank Transfer,Yes,1,383
C00385,1,188,7165,Month-to-month,Bank Transfer,No,0,384
C00386,25,90,1649,Month-to-month,Credit Card,No,1,385
C00387,70,168,2375,One year,Bank Transfer,Yes,0,386
C00388,42,156,2302,Two year,Electronic Check,No,0,387
C00389,42,126,5532,Month-to-month,Credit Card,No,0,388
C00390,4,105,2534,Month-to-month,Electronic Check,Yes,0,389
C00391,3,79,1299,One year,Credit Card,No,1,390
C00392,56,147,253,Month-to-month,Credit Card,Yes,0,391
C00393,6,63,2156,Month-to-month,Credit Card,Yes,1,392
C00394,22,65,1947,Month-to-month,Bank Transfer,Yes,1,393
C00395,61,116,6302,One year,Electronic Check,Yes,0,394
C00396,57,134,2241,Month-to-month,Electronic Check,Yes,1,395
C00397,5,39,3370,Month-to-month,Credit Card,Yes,0,396
C00398,59,95,7232,Two year,Credit Card,Yes,1,397
C00399,62,159,446,One year,Bank Transfer,No,0,398
C00400,53,27,4429,Two year,Electronic Check,No,0,399
C00401,6,198,6427,Month-to-month,Credit Card,No,1,400
C00402,45,199,7564,Month-to-month,Credit Card,Yes,0,401
C00403,69,115,4730,One year,Credit Card,Yes,1,402
C00404,20,37,4631,Month-to-month,Electronic Check,No,0,403
C00405,25,184,7662,Month-to-month,Credit Card,No,1,404
C00406,45,104,2541,Month-to-month,Electronic Check,No,1,405
C00407,3,75,3048,One year,Electronic Check,No,0,406
C00408,5,44,7840,One year,Credit Card,No,0,407
C00409,48,46,6056,Month-to-month,Bank Transfer,No,0,408
C00410,48,149,7690,Month-to-month,Bank Transfer,Yes,1,409
C00411,23,134,4413,One year,Electronic Check,No,1,410
C00412,48,95,1168,One year,Bank Transfer,Yes,0,411
C00413,64,131,3127,Two year,Electronic Check,No,0,412
C00414,2,158,3460,Two year,Electronic Check,No,0,413
C00415,48,87,6197,One year,Credit Card,Yes,1,414
C00416,48,151,530,Two year,Credit Card,Yes,0,415
C00417,51,83,7409,Two year,Bank Transfer,Yes,0,416
C00418,59,183,4605,One year,Electronic Check,Yes,0,417
C00419,35,113,6754,Month-to-month,Bank Transfer,No,1,418
C00420,18,53,6260,Month-to-month,Bank Transfer,Yes,0,419
C00421,39,146,3886,One year,Bank Transfer,Yes,1,420
C00422,14,158,1718,One year,Bank Transfer,No,1,421
C00423,5,172,2066,One year,Bank Transfer,No,1,422
C00424,5,93,3720,Month-to-month,Credit Card,Yes,0,423
C00425,52,47,7270,Two year,Electronic Check,Yes,0,424
C00426,54,61,1714,Month-to-month,Bank Transfer,No,1,425
C00427,34,191,4220,One year,Bank Transfer,Yes,0,426
C00428,3,178,1423,Month-to-month,Credit Card,Yes,1,427
C00429,36,169,7102,One year,Electronic Check,No,1,428
C00430,10,21,4968,One year,Electronic Check,No,1,429
C00431,70,156,2011,Two year,Credit Card,Yes,0,430
C00432,62,116,2103,One year,Electronic Check,No,1,431
C00433,14,162,325,Two year,Credit Card,Yes,0,432
C00434,67,21,5850,Two year,Electronic Check,Yes,0,433
C00435,8,152,499,Month-to-month,Electronic Check,No,0,434
C00436,29,151,1329,Month-to-month,Bank Transfer,Yes,1,435
C00437,30,100,3098,Month-to-month,Electronic Check,No,0,436
C00438,68,93,3075,Month-to-month,Credit Card,Yes,0,437
C00439,46,76,5865,One year,Electronic Check,No,1,438
C00440,60,47,6373,Month-to-month,Credit Card,No,1,439
C00441,61,26,3471,One year,Credit Card,No,0,440
C00442,52,70,5784,Two year,Electronic Check,No,0,441
C00443,29,85,5965,Two year,Credit Card,No,0,442
C00444,59,126,6287,One year,Credit Card,No,1,443
C00445,58,150,5290,One year,Credit Card,No,1,444
C00446,8,168,7608,Two year,Credit Card,No,0,445
C00447,13,190,6568,Month-to-month,Electronic Check,Yes,1,446
C00448,50,190,6770,Month-to-month,Credit Card,No,1,447
C00449,59,165,7758,One year,Electronic Check,Yes,1,448
C00450,15,113,6537,Two year,Electronic Check,No,1,449
C00451,64,57,5241,One year,Electronic Check,No,0,450
C00452,19,192,2908,One year,Credit Card,No,1,451
C00453,36,67,4566,Month-to-month,Electronic Check,No,1,452
C00454,68,24,3316,One year,Bank Transfer,No,0,453
C00455,10,34,5589,Month-to-month,Credit Card,No,0,454
C00456,1,30,6242,Two year,Bank Transfer,No,0,455
C00457,31,160,5208,One year,Electronic Check,Yes,1,456
C00458,1,186,622,Two year,Electronic Check,Yes,1,457
C00459,53,102,7501,Month-to-month,Credit Card,No,1,458
C00460,28,187,3207,One year,Electronic Check,Yes,0,459
C00461,49,80,3534,Month-to-month,Credit Card,No,1,460
C00462,40,158,4093,One year,Electronic Check,Yes,0,461
C00463,56,143,6530,One year,Bank Transfer,Yes,1,462
C00464,10,168,5667,One year,Electronic Check,Yes,1,463
C00465,63,125,6204,Month-to-month,Bank Transfer,No,0,464
C00466,38,59,3970,One year,Credit Card,No,0,465
C00467,46,37,5635,Two year,Electronic Check,No,0,466
C00468,23,23,4012,One year,Electronic Check,Yes,1,467
C00469,53,146,6760,One year,Bank Transfer,Yes,1,468
C00470,6,115,4534,Month-to-month,Bank Transfer,Yes,1,469
